size_slug,ollama_ref,size_file
70b,cogito:70b,sizes/70b.json
70b-v1-preview-llama-fp16,cogito:70b-v1-preview-llama-fp16,sizes/70b-v1-preview-llama-fp16.json
70b-v1-preview-llama-q4-k-m,cogito:70b-v1-preview-llama-q4_K_M,sizes/70b-v1-preview-llama-q4-k-m.json
70b-v1-preview-llama-q80,cogito:70b-v1-preview-llama-q8_0,sizes/70b-v1-preview-llama-q80.json
32b,cogito:32b,sizes/32b.json
32b-v1-preview-qwen-fp16,cogito:32b-v1-preview-qwen-fp16,sizes/32b-v1-preview-qwen-fp16.json
32b-v1-preview-qwen-q4-k-m,cogito:32b-v1-preview-qwen-q4_K_M,sizes/32b-v1-preview-qwen-q4-k-m.json
32b-v1-preview-qwen-q80,cogito:32b-v1-preview-qwen-q8_0,sizes/32b-v1-preview-qwen-q80.json
14b,cogito:14b,sizes/14b.json
14b-v1-preview-qwen-fp16,cogito:14b-v1-preview-qwen-fp16,sizes/14b-v1-preview-qwen-fp16.json
14b-v1-preview-qwen-q4-k-m,cogito:14b-v1-preview-qwen-q4_K_M,sizes/14b-v1-preview-qwen-q4-k-m.json
14b-v1-preview-qwen-q80,cogito:14b-v1-preview-qwen-q8_0,sizes/14b-v1-preview-qwen-q80.json
8b,cogito:8b,sizes/8b.json
8b-v1-preview-llama-q4-k-m,cogito:8b-v1-preview-llama-q4_K_M,sizes/8b-v1-preview-llama-q4-k-m.json
8b-v1-preview-llama-q80,cogito:8b-v1-preview-llama-q8_0,sizes/8b-v1-preview-llama-q80.json
3b,cogito:3b,sizes/3b.json
3b-v1-preview-llama-fp16,cogito:3b-v1-preview-llama-fp16,sizes/3b-v1-preview-llama-fp16.json
3b-v1-preview-llama-q4-k-m,cogito:3b-v1-preview-llama-q4_K_M,sizes/3b-v1-preview-llama-q4-k-m.json
3b-v1-preview-llama-q80,cogito:3b-v1-preview-llama-q8_0,sizes/3b-v1-preview-llama-q80.json
latest,cogito:latest,sizes/latest.json
