size_slug,ollama_ref,size_file,fit_status
3b,stablelm-zephyr:3b,../sizes/3b.json,fit
3b-fp16,stablelm-zephyr:3b-fp16,../sizes/3b-fp16.json,fit
3b-q2-k,stablelm-zephyr:3b-q2_K,../sizes/3b-q2-k.json,fit
3b-q3-k-l,stablelm-zephyr:3b-q3_K_L,../sizes/3b-q3-k-l.json,fit
3b-q3-k-m,stablelm-zephyr:3b-q3_K_M,../sizes/3b-q3-k-m.json,fit
3b-q3-k-s,stablelm-zephyr:3b-q3_K_S,../sizes/3b-q3-k-s.json,fit
3b-q4-k-m,stablelm-zephyr:3b-q4_K_M,../sizes/3b-q4-k-m.json,fit
3b-q4-k-s,stablelm-zephyr:3b-q4_K_S,../sizes/3b-q4-k-s.json,fit
3b-q40,stablelm-zephyr:3b-q4_0,../sizes/3b-q40.json,fit
3b-q41,stablelm-zephyr:3b-q4_1,../sizes/3b-q41.json,fit
3b-q5-k-m,stablelm-zephyr:3b-q5_K_M,../sizes/3b-q5-k-m.json,fit
3b-q5-k-s,stablelm-zephyr:3b-q5_K_S,../sizes/3b-q5-k-s.json,fit
3b-q50,stablelm-zephyr:3b-q5_0,../sizes/3b-q50.json,fit
3b-q51,stablelm-zephyr:3b-q5_1,../sizes/3b-q51.json,fit
3b-q6-k,stablelm-zephyr:3b-q6_K,../sizes/3b-q6-k.json,fit
3b-q80,stablelm-zephyr:3b-q8_0,../sizes/3b-q80.json,fit
latest,stablelm-zephyr:latest,../sizes/latest.json,fit
