size_slug,ollama_ref,size_file,fit_status
1-7b,smollm:1.7b,../sizes/1-7b.json,listed_in_agents_selection
1-7b-base-v0-2-fp16,smollm:1.7b-base-v0.2-fp16,../sizes/1-7b-base-v0-2-fp16.json,not_listed_in_agents_selection
1-7b-base-v0-2-q2_k,smollm:1.7b-base-v0.2-q2_K,../sizes/1-7b-base-v0-2-q2_k.json,not_listed_in_agents_selection
1-7b-base-v0-2-q3_k_l,smollm:1.7b-base-v0.2-q3_K_L,../sizes/1-7b-base-v0-2-q3_k_l.json,not_listed_in_agents_selection
1-7b-base-v0-2-q3_k_m,smollm:1.7b-base-v0.2-q3_K_M,../sizes/1-7b-base-v0-2-q3_k_m.json,not_listed_in_agents_selection
1-7b-base-v0-2-q3_k_s,smollm:1.7b-base-v0.2-q3_K_S,../sizes/1-7b-base-v0-2-q3_k_s.json,not_listed_in_agents_selection
1-7b-base-v0-2-q4_0,smollm:1.7b-base-v0.2-q4_0,../sizes/1-7b-base-v0-2-q4_0.json,not_listed_in_agents_selection
1-7b-base-v0-2-q4_1,smollm:1.7b-base-v0.2-q4_1,../sizes/1-7b-base-v0-2-q4_1.json,not_listed_in_agents_selection
1-7b-base-v0-2-q4_k_m,smollm:1.7b-base-v0.2-q4_K_M,../sizes/1-7b-base-v0-2-q4_k_m.json,not_listed_in_agents_selection
1-7b-base-v0-2-q4_k_s,smollm:1.7b-base-v0.2-q4_K_S,../sizes/1-7b-base-v0-2-q4_k_s.json,not_listed_in_agents_selection
1-7b-base-v0-2-q5_0,smollm:1.7b-base-v0.2-q5_0,../sizes/1-7b-base-v0-2-q5_0.json,not_listed_in_agents_selection
1-7b-base-v0-2-q5_1,smollm:1.7b-base-v0.2-q5_1,../sizes/1-7b-base-v0-2-q5_1.json,not_listed_in_agents_selection
1-7b-base-v0-2-q5_k_m,smollm:1.7b-base-v0.2-q5_K_M,../sizes/1-7b-base-v0-2-q5_k_m.json,not_listed_in_agents_selection
1-7b-base-v0-2-q5_k_s,smollm:1.7b-base-v0.2-q5_K_S,../sizes/1-7b-base-v0-2-q5_k_s.json,not_listed_in_agents_selection
1-7b-base-v0-2-q6_k,smollm:1.7b-base-v0.2-q6_K,../sizes/1-7b-base-v0-2-q6_k.json,not_listed_in_agents_selection
1-7b-base-v0-2-q8_0,smollm:1.7b-base-v0.2-q8_0,../sizes/1-7b-base-v0-2-q8_0.json,not_listed_in_agents_selection
1-7b-instruct-v0-2-fp16,smollm:1.7b-instruct-v0.2-fp16,../sizes/1-7b-instruct-v0-2-fp16.json,not_listed_in_agents_selection
1-7b-instruct-v0-2-q2_k,smollm:1.7b-instruct-v0.2-q2_K,../sizes/1-7b-instruct-v0-2-q2_k.json,not_listed_in_agents_selection
1-7b-instruct-v0-2-q3_k_l,smollm:1.7b-instruct-v0.2-q3_K_L,../sizes/1-7b-instruct-v0-2-q3_k_l.json,not_listed_in_agents_selection
1-7b-instruct-v0-2-q3_k_m,smollm:1.7b-instruct-v0.2-q3_K_M,../sizes/1-7b-instruct-v0-2-q3_k_m.json,not_listed_in_agents_selection
1-7b-instruct-v0-2-q3_k_s,smollm:1.7b-instruct-v0.2-q3_K_S,../sizes/1-7b-instruct-v0-2-q3_k_s.json,not_listed_in_agents_selection
1-7b-instruct-v0-2-q4_0,smollm:1.7b-instruct-v0.2-q4_0,../sizes/1-7b-instruct-v0-2-q4_0.json,not_listed_in_agents_selection
1-7b-instruct-v0-2-q4_1,smollm:1.7b-instruct-v0.2-q4_1,../sizes/1-7b-instruct-v0-2-q4_1.json,not_listed_in_agents_selection
1-7b-instruct-v0-2-q4_k_m,smollm:1.7b-instruct-v0.2-q4_K_M,../sizes/1-7b-instruct-v0-2-q4_k_m.json,not_listed_in_agents_selection
1-7b-instruct-v0-2-q4_k_s,smollm:1.7b-instruct-v0.2-q4_K_S,../sizes/1-7b-instruct-v0-2-q4_k_s.json,not_listed_in_agents_selection
1-7b-instruct-v0-2-q5_0,smollm:1.7b-instruct-v0.2-q5_0,../sizes/1-7b-instruct-v0-2-q5_0.json,not_listed_in_agents_selection
1-7b-instruct-v0-2-q5_1,smollm:1.7b-instruct-v0.2-q5_1,../sizes/1-7b-instruct-v0-2-q5_1.json,not_listed_in_agents_selection
1-7b-instruct-v0-2-q5_k_m,smollm:1.7b-instruct-v0.2-q5_K_M,../sizes/1-7b-instruct-v0-2-q5_k_m.json,not_listed_in_agents_selection
1-7b-instruct-v0-2-q5_k_s,smollm:1.7b-instruct-v0.2-q5_K_S,../sizes/1-7b-instruct-v0-2-q5_k_s.json,not_listed_in_agents_selection
1-7b-instruct-v0-2-q6_k,smollm:1.7b-instruct-v0.2-q6_K,../sizes/1-7b-instruct-v0-2-q6_k.json,not_listed_in_agents_selection
1-7b-instruct-v0-2-q8_0,smollm:1.7b-instruct-v0.2-q8_0,../sizes/1-7b-instruct-v0-2-q8_0.json,not_listed_in_agents_selection
latest,smollm:latest,../sizes/latest.json,not_listed_in_agents_selection
