size_slug,ollama_ref,size_file,fit_status
8b,aya-expanse:8b,../sizes/8b.json,not_listed_in_agents_selection
8b-fp16,aya-expanse:8b-fp16,../sizes/8b-fp16.json,not_listed_in_agents_selection
8b-q2_k,aya-expanse:8b-q2_K,../sizes/8b-q2_k.json,not_listed_in_agents_selection
8b-q3_k_l,aya-expanse:8b-q3_K_L,../sizes/8b-q3_k_l.json,not_listed_in_agents_selection
8b-q3_k_m,aya-expanse:8b-q3_K_M,../sizes/8b-q3_k_m.json,not_listed_in_agents_selection
8b-q3_k_s,aya-expanse:8b-q3_K_S,../sizes/8b-q3_k_s.json,not_listed_in_agents_selection
8b-q4_0,aya-expanse:8b-q4_0,../sizes/8b-q4_0.json,not_listed_in_agents_selection
8b-q4_1,aya-expanse:8b-q4_1,../sizes/8b-q4_1.json,not_listed_in_agents_selection
8b-q4_k_m,aya-expanse:8b-q4_K_M,../sizes/8b-q4_k_m.json,not_listed_in_agents_selection
8b-q4_k_s,aya-expanse:8b-q4_K_S,../sizes/8b-q4_k_s.json,not_listed_in_agents_selection
8b-q5_0,aya-expanse:8b-q5_0,../sizes/8b-q5_0.json,not_listed_in_agents_selection
8b-q5_1,aya-expanse:8b-q5_1,../sizes/8b-q5_1.json,not_listed_in_agents_selection
8b-q5_k_m,aya-expanse:8b-q5_K_M,../sizes/8b-q5_k_m.json,not_listed_in_agents_selection
8b-q5_k_s,aya-expanse:8b-q5_K_S,../sizes/8b-q5_k_s.json,not_listed_in_agents_selection
8b-q6_k,aya-expanse:8b-q6_K,../sizes/8b-q6_k.json,not_listed_in_agents_selection
8b-q8_0,aya-expanse:8b-q8_0,../sizes/8b-q8_0.json,not_listed_in_agents_selection
latest,aya-expanse:latest,../sizes/latest.json,not_listed_in_agents_selection
