size_slug,ollama_ref,size_file,fit_status
33m,all-minilm:33m,../sizes/33m.json,unknown
33m-l12-v2-fp16,all-minilm:33m-l12-v2-fp16,../sizes/33m-l12-v2-fp16.json,unknown
22m,all-minilm:22m,../sizes/22m.json,unknown
22m-l6-v2-fp16,all-minilm:22m-l6-v2-fp16,../sizes/22m-l6-v2-fp16.json,unknown
l12,all-minilm:l12,../sizes/l12.json,unknown
l12-v2,all-minilm:l12-v2,../sizes/l12-v2.json,unknown
l6,all-minilm:l6,../sizes/l6.json,unknown
l6-v2,all-minilm:l6-v2,../sizes/l6-v2.json,unknown
latest,all-minilm:latest,../sizes/latest.json,unknown
v2,all-minilm:v2,../sizes/v2.json,unknown
