size_slug,ollama_ref,size_file,fit_status
7b,openchat:7b,../sizes/7b.json,not_listed_in_agents_selection
7b-v3-5,openchat:7b-v3.5,../sizes/7b-v3-5.json,not_listed_in_agents_selection
7b-v3-5-0106,openchat:7b-v3.5-0106,../sizes/7b-v3-5-0106.json,not_listed_in_agents_selection
7b-v3-5-0106-fp16,openchat:7b-v3.5-0106-fp16,../sizes/7b-v3-5-0106-fp16.json,not_listed_in_agents_selection
7b-v3-5-0106-q2_k,openchat:7b-v3.5-0106-q2_K,../sizes/7b-v3-5-0106-q2_k.json,not_listed_in_agents_selection
7b-v3-5-0106-q3_k_l,openchat:7b-v3.5-0106-q3_K_L,../sizes/7b-v3-5-0106-q3_k_l.json,not_listed_in_agents_selection
7b-v3-5-0106-q3_k_m,openchat:7b-v3.5-0106-q3_K_M,../sizes/7b-v3-5-0106-q3_k_m.json,not_listed_in_agents_selection
7b-v3-5-0106-q3_k_s,openchat:7b-v3.5-0106-q3_K_S,../sizes/7b-v3-5-0106-q3_k_s.json,not_listed_in_agents_selection
7b-v3-5-0106-q4_0,openchat:7b-v3.5-0106-q4_0,../sizes/7b-v3-5-0106-q4_0.json,not_listed_in_agents_selection
7b-v3-5-0106-q4_1,openchat:7b-v3.5-0106-q4_1,../sizes/7b-v3-5-0106-q4_1.json,not_listed_in_agents_selection
7b-v3-5-0106-q4_k_m,openchat:7b-v3.5-0106-q4_K_M,../sizes/7b-v3-5-0106-q4_k_m.json,not_listed_in_agents_selection
7b-v3-5-0106-q4_k_s,openchat:7b-v3.5-0106-q4_K_S,../sizes/7b-v3-5-0106-q4_k_s.json,not_listed_in_agents_selection
7b-v3-5-0106-q5_0,openchat:7b-v3.5-0106-q5_0,../sizes/7b-v3-5-0106-q5_0.json,not_listed_in_agents_selection
7b-v3-5-0106-q5_1,openchat:7b-v3.5-0106-q5_1,../sizes/7b-v3-5-0106-q5_1.json,not_listed_in_agents_selection
7b-v3-5-0106-q5_k_m,openchat:7b-v3.5-0106-q5_K_M,../sizes/7b-v3-5-0106-q5_k_m.json,not_listed_in_agents_selection
7b-v3-5-0106-q5_k_s,openchat:7b-v3.5-0106-q5_K_S,../sizes/7b-v3-5-0106-q5_k_s.json,not_listed_in_agents_selection
7b-v3-5-0106-q6_k,openchat:7b-v3.5-0106-q6_K,../sizes/7b-v3-5-0106-q6_k.json,not_listed_in_agents_selection
7b-v3-5-0106-q8_0,openchat:7b-v3.5-0106-q8_0,../sizes/7b-v3-5-0106-q8_0.json,not_listed_in_agents_selection
7b-v3-5-1210,openchat:7b-v3.5-1210,../sizes/7b-v3-5-1210.json,not_listed_in_agents_selection
7b-v3-5-1210-fp16,openchat:7b-v3.5-1210-fp16,../sizes/7b-v3-5-1210-fp16.json,not_listed_in_agents_selection
7b-v3-5-1210-q2_k,openchat:7b-v3.5-1210-q2_K,../sizes/7b-v3-5-1210-q2_k.json,not_listed_in_agents_selection
7b-v3-5-1210-q3_k_l,openchat:7b-v3.5-1210-q3_K_L,../sizes/7b-v3-5-1210-q3_k_l.json,not_listed_in_agents_selection
7b-v3-5-1210-q3_k_m,openchat:7b-v3.5-1210-q3_K_M,../sizes/7b-v3-5-1210-q3_k_m.json,not_listed_in_agents_selection
7b-v3-5-1210-q3_k_s,openchat:7b-v3.5-1210-q3_K_S,../sizes/7b-v3-5-1210-q3_k_s.json,not_listed_in_agents_selection
7b-v3-5-1210-q4_0,openchat:7b-v3.5-1210-q4_0,../sizes/7b-v3-5-1210-q4_0.json,not_listed_in_agents_selection
7b-v3-5-1210-q4_1,openchat:7b-v3.5-1210-q4_1,../sizes/7b-v3-5-1210-q4_1.json,not_listed_in_agents_selection
7b-v3-5-1210-q4_k_m,openchat:7b-v3.5-1210-q4_K_M,../sizes/7b-v3-5-1210-q4_k_m.json,not_listed_in_agents_selection
7b-v3-5-1210-q4_k_s,openchat:7b-v3.5-1210-q4_K_S,../sizes/7b-v3-5-1210-q4_k_s.json,not_listed_in_agents_selection
7b-v3-5-1210-q5_0,openchat:7b-v3.5-1210-q5_0,../sizes/7b-v3-5-1210-q5_0.json,not_listed_in_agents_selection
7b-v3-5-1210-q5_1,openchat:7b-v3.5-1210-q5_1,../sizes/7b-v3-5-1210-q5_1.json,not_listed_in_agents_selection
7b-v3-5-1210-q5_k_m,openchat:7b-v3.5-1210-q5_K_M,../sizes/7b-v3-5-1210-q5_k_m.json,not_listed_in_agents_selection
7b-v3-5-1210-q5_k_s,openchat:7b-v3.5-1210-q5_K_S,../sizes/7b-v3-5-1210-q5_k_s.json,not_listed_in_agents_selection
7b-v3-5-1210-q6_k,openchat:7b-v3.5-1210-q6_K,../sizes/7b-v3-5-1210-q6_k.json,not_listed_in_agents_selection
7b-v3-5-1210-q8_0,openchat:7b-v3.5-1210-q8_0,../sizes/7b-v3-5-1210-q8_0.json,not_listed_in_agents_selection
7b-v3-5-fp16,openchat:7b-v3.5-fp16,../sizes/7b-v3-5-fp16.json,not_listed_in_agents_selection
7b-v3-5-q2_k,openchat:7b-v3.5-q2_K,../sizes/7b-v3-5-q2_k.json,not_listed_in_agents_selection
7b-v3-5-q3_k_l,openchat:7b-v3.5-q3_K_L,../sizes/7b-v3-5-q3_k_l.json,not_listed_in_agents_selection
7b-v3-5-q3_k_m,openchat:7b-v3.5-q3_K_M,../sizes/7b-v3-5-q3_k_m.json,not_listed_in_agents_selection
7b-v3-5-q3_k_s,openchat:7b-v3.5-q3_K_S,../sizes/7b-v3-5-q3_k_s.json,not_listed_in_agents_selection
7b-v3-5-q4_0,openchat:7b-v3.5-q4_0,../sizes/7b-v3-5-q4_0.json,not_listed_in_agents_selection
