size_slug,ollama_ref,size_file,fit_status
1.5b,reader-lm:1.5b,../sizes/1.5b.json,fit
1.5b-fp16,reader-lm:1.5b-fp16,../sizes/1.5b-fp16.json,no_fit
1.5b-q2-k,reader-lm:1.5b-q2_K,../sizes/1.5b-q2-k.json,fit
1.5b-q3-k-l,reader-lm:1.5b-q3_K_L,../sizes/1.5b-q3-k-l.json,fit
1.5b-q3-k-m,reader-lm:1.5b-q3_K_M,../sizes/1.5b-q3-k-m.json,fit
1.5b-q3-k-s,reader-lm:1.5b-q3_K_S,../sizes/1.5b-q3-k-s.json,fit
1.5b-q4-k-m,reader-lm:1.5b-q4_K_M,../sizes/1.5b-q4-k-m.json,fit
1.5b-q4-k-s,reader-lm:1.5b-q4_K_S,../sizes/1.5b-q4-k-s.json,fit
1.5b-q40,reader-lm:1.5b-q4_0,../sizes/1.5b-q40.json,fit
1.5b-q41,reader-lm:1.5b-q4_1,../sizes/1.5b-q41.json,fit
1.5b-q5-k-m,reader-lm:1.5b-q5_K_M,../sizes/1.5b-q5-k-m.json,fit
1.5b-q5-k-s,reader-lm:1.5b-q5_K_S,../sizes/1.5b-q5-k-s.json,fit
1.5b-q50,reader-lm:1.5b-q5_0,../sizes/1.5b-q50.json,fit
1.5b-q51,reader-lm:1.5b-q5_1,../sizes/1.5b-q51.json,fit
1.5b-q6-k,reader-lm:1.5b-q6_K,../sizes/1.5b-q6-k.json,fit
1.5b-q80,reader-lm:1.5b-q8_0,../sizes/1.5b-q80.json,fit
0.5b,reader-lm:0.5b,../sizes/0.5b.json,fit
0.5b-fp16,reader-lm:0.5b-fp16,../sizes/0.5b-fp16.json,fit
0.5b-q2-k,reader-lm:0.5b-q2_K,../sizes/0.5b-q2-k.json,fit
0.5b-q3-k-l,reader-lm:0.5b-q3_K_L,../sizes/0.5b-q3-k-l.json,fit
0.5b-q3-k-m,reader-lm:0.5b-q3_K_M,../sizes/0.5b-q3-k-m.json,fit
0.5b-q3-k-s,reader-lm:0.5b-q3_K_S,../sizes/0.5b-q3-k-s.json,fit
0.5b-q4-k-m,reader-lm:0.5b-q4_K_M,../sizes/0.5b-q4-k-m.json,fit
0.5b-q4-k-s,reader-lm:0.5b-q4_K_S,../sizes/0.5b-q4-k-s.json,fit
0.5b-q40,reader-lm:0.5b-q4_0,../sizes/0.5b-q40.json,fit
0.5b-q41,reader-lm:0.5b-q4_1,../sizes/0.5b-q41.json,fit
0.5b-q5-k-m,reader-lm:0.5b-q5_K_M,../sizes/0.5b-q5-k-m.json,fit
0.5b-q5-k-s,reader-lm:0.5b-q5_K_S,../sizes/0.5b-q5-k-s.json,fit
0.5b-q50,reader-lm:0.5b-q5_0,../sizes/0.5b-q50.json,fit
0.5b-q51,reader-lm:0.5b-q5_1,../sizes/0.5b-q51.json,fit
0.5b-q6-k,reader-lm:0.5b-q6_K,../sizes/0.5b-q6-k.json,fit
0.5b-q80,reader-lm:0.5b-q8_0,../sizes/0.5b-q80.json,fit
latest,reader-lm:latest,../sizes/latest.json,fit
