size_slug,ollama_ref,size_file
70b,firefunction-v2:70b,sizes/70b.json
70b-fp16,firefunction-v2:70b-fp16,sizes/70b-fp16.json
70b-q2_k,firefunction-v2:70b-q2_K,sizes/70b-q2_k.json
70b-q3_k_l,firefunction-v2:70b-q3_K_L,sizes/70b-q3_k_l.json
70b-q3_k_m,firefunction-v2:70b-q3_K_M,sizes/70b-q3_k_m.json
70b-q3_k_s,firefunction-v2:70b-q3_K_S,sizes/70b-q3_k_s.json
70b-q4_0,firefunction-v2:70b-q4_0,sizes/70b-q4_0.json
70b-q4_1,firefunction-v2:70b-q4_1,sizes/70b-q4_1.json
70b-q4_k_m,firefunction-v2:70b-q4_K_M,sizes/70b-q4_k_m.json
70b-q4_k_s,firefunction-v2:70b-q4_K_S,sizes/70b-q4_k_s.json
70b-q5_0,firefunction-v2:70b-q5_0,sizes/70b-q5_0.json
70b-q5_1,firefunction-v2:70b-q5_1,sizes/70b-q5_1.json
70b-q5_k_m,firefunction-v2:70b-q5_K_M,sizes/70b-q5_k_m.json
70b-q5_k_s,firefunction-v2:70b-q5_K_S,sizes/70b-q5_k_s.json
70b-q6_k,firefunction-v2:70b-q6_K,sizes/70b-q6_k.json
70b-q8_0,firefunction-v2:70b-q8_0,sizes/70b-q8_0.json
latest,firefunction-v2:latest,sizes/latest.json
